"","x","y","value","hour"
"1",121.353467714,31.1347751786,4129.00001559909,5
"2",121.361030087641,31.1347751786,6009.80741705024,5
"3",121.368592461282,31.1347751786,5684.39428622184,5
"4",121.376154834923,31.1347751786,5783.0339136545,5
"5",121.383717208564,31.1347751786,6949.40723661863,5
"6",121.391279582205,31.1347751786,7158.84245609132,5
"7",121.398841955846,31.1347751786,7493.85105917653,5
"8",121.406404329487,31.1347751786,10047.8596764734,5
"9",121.413966703128,31.1347751786,12591.1927444102,5
"10",121.421529076769,31.1347751786,13715.9640266859,5
"11",121.42909145041,31.1347751786,12247.1512308185,5
"12",121.436653824051,31.1347751786,10156.4281801112,5
"13",121.444216197692,31.1347751786,7690.13934502696,5
"14",121.451778571333,31.1347751786,5287.99988158479,5
"15",121.459340944974,31.1347751786,2909.87354477502,5
"16",121.466903318615,31.1347751786,2467.22647174515,5
"17",121.474465692256,31.1347751786,3438.61168458146,5
"18",121.482028065897,31.1347751786,3448.0453833357,5
"19",121.489590439538,31.1347751786,4100.71009273413,5
"20",121.497152813179,31.1347751786,4016.74481459631,5
"21",121.504715186821,31.1347751786,3043.59866472903,5
"22",121.512277560462,31.1347751786,4086.47294863188,5
"23",121.519839934103,31.1347751786,4529.18802199663,5
"24",121.527402307744,31.1347751786,3055.14286617,5
"25",121.534964681385,31.1347751786,2302.08183007283,5
"26",121.542527055026,31.1347751786,1788.00784066331,5
"27",121.550089428667,31.1347751786,1617.99999525017,5
"28",121.557651802308,31.1347751786,2172.64699286726,5
"29",121.565214175949,31.1347751786,2217.98682765608,5
"30",121.57277654959,31.1347751786,1823.83941439968,5
"31",121.580338923231,31.1347751786,1571.1138599265,5
"32",121.587901296872,31.1347751786,1508.31810164554,5
"33",121.595463670513,31.1347751786,1743.04830138423,5
"34",121.603026044154,31.1347751786,1622.48972057548,5
"35",121.610588417795,31.1347751786,4426.73967806909,5
"36",121.618150791436,31.1347751786,5363.99046506804,5
"37",121.625713165077,31.1347751786,1561.63996224664,5
"38",121.633275538718,31.1347751786,425.439519593203,5
"39",121.640837912359,31.1347751786,362.036254702381,5
"40",121.648400286,31.1347751786,847.999999085885,5
"41",121.353467714,31.1410034258513,13087.2621572311,5
"42",121.361030087641,31.1410034258513,8545.54272408983,5
"43",121.368592461282,31.1410034258513,6159.74452088396,5
"44",121.376154834923,31.1410034258513,6155.98319910101,5
"45",121.383717208564,31.1410034258513,7670.62644142422,5
"46",121.391279582205,31.1410034258513,8287.50430945469,5
"47",121.398841955846,31.1410034258513,9351.11951016726,5
"48",121.406404329487,31.1410034258513,12535.2122389716,5
"49",121.413966703128,31.1410034258513,12886.5642486745,5
"50",121.421529076769,31.1410034258513,12526.7569405503,5
"51",121.42909145041,31.1410034258513,12710.4966752513,5
"52",121.436653824051,31.1410034258513,10383.2367800779,5
"53",121.444216197692,31.1410034258513,7623.48747751097,5
"54",121.451778571333,31.1410034258513,4866.87704969321,5
"55",121.459340944974,31.1410034258513,2781.43840421071,5
"56",121.466903318615,31.1410034258513,2398.56714536568,5
"57",121.474465692256,31.1410034258513,3781.31839068071,5
"58",121.482028065897,31.1410034258513,5313.08071868336,5
"59",121.489590439538,31.1410034258513,6944.64376164255,5
"60",121.497152813179,31.1410034258513,7626.74730503707,5
"61",121.504715186821,31.1410034258513,6220.88897623562,5
"62",121.512277560462,31.1410034258513,6165.44080524292,5
"63",121.519839934103,31.1410034258513,5975.16305620413,5
"64",121.527402307744,31.1410034258513,4169.55777539229,5
"65",121.534964681385,31.1410034258513,2774.29252912745,5
"66",121.542527055026,31.1410034258513,1859.76916567126,5
"67",121.550089428667,31.1410034258513,1513.44032805037,5
"68",121.557651802308,31.1410034258513,1783.89649117905,5
"69",121.565214175949,31.1410034258513,2016.63727106138,5
"70",121.57277654959,31.1410034258513,1838.5546208643,5
"71",121.580338923231,31.1410034258513,1399.49278468494,5
"72",121.587901296872,31.1410034258513,1350.76527081938,5
"73",121.595463670513,31.1410034258513,1752.8132935372,5
"74",121.603026044154,31.1410034258513,3079.63336708156,5
"75",121.610588417795,31.1410034258513,4960.86878532004,5
"76",121.618150791436,31.1410034258513,5177.6299981213,5
"77",121.625713165077,31.1410034258513,2094.7089325768,5
"78",121.633275538718,31.1410034258513,873.856900384793,5
"79",121.640837912359,31.1410034258513,850.33820656508,5
"80",121.648400286,31.1410034258513,702.546483339858,5
"81",121.353467714,31.1472316731026,16805.5999514201,5
"82",121.361030087641,31.1472316731026,11526.4015215578,5
"83",121.368592461282,31.1472316731026,8565.53230707227,5
"84",121.376154834923,31.1472316731026,8562.84471474239,5
"85",121.383717208564,31.1472316731026,9649.39022250539,5
"86",121.391279582205,31.1472316731026,9675.71334507297,5
"87",121.398841955846,31.1472316731026,10059.1563623639,5
"88",121.406404329487,31.1472316731026,12241.9426557564,5
"89",121.413966703128,31.1472316731026,12176.810302795,5
"90",121.421529076769,31.1472316731026,11642.4297790395,5
"91",121.42909145041,31.1472316731026,11757.1383722021,5
"92",121.436653824051,31.1472316731026,9132.51696767077,5
"93",121.444216197692,31.1472316731026,6672.81464924014,5
"94",121.451778571333,31.1472316731026,4809.62327013319,5
"95",121.459340944974,31.1472316731026,2392.49359141434,5
"96",121.466903318615,31.1472316731026,1683.41403992773,5
"97",121.474465692256,31.1472316731026,3366.52744857296,5
"98",121.482028065897,31.1472316731026,6246.91725093205,5
"99",121.489590439538,31.1472316731026,8993.36944133245,5
"100",121.497152813179,31.1472316731026,10144.464538142,5
"101",121.504715186821,31.1472316731026,8455.42832344744,5
