"","x","y","value","hour"
"1",121.353467714,31.1347751786,4129.00001559909,5
"2",121.361030087641,31.1347751786,5945.25825840228,5
"3",121.368592461282,31.1347751786,5785.06002443237,5
"4",121.376154834923,31.1347751786,5830.03663069054,5
"5",121.383717208564,31.1347751786,7020.89944972789,5
"6",121.391279582205,31.1347751786,7213.90101451937,5
"7",121.398841955846,31.1347751786,7516.49600659759,5
"8",121.406404329487,31.1347751786,10076.335055899,5
"9",121.413966703128,31.1347751786,12811.9321031105,5
"10",121.421529076769,31.1347751786,13819.1101201427,5
"11",121.42909145041,31.1347751786,12312.9864713142,5
"12",121.436653824051,31.1347751786,10200.3941626084,5
"13",121.444216197692,31.1347751786,7745.83705159775,5
"14",121.451778571333,31.1347751786,5287.99989916101,5
"15",121.459340944974,31.1347751786,3003.38032019631,5
"16",121.466903318615,31.1347751786,2393.35035052831,5
"17",121.474465692256,31.1347751786,3359.43720505802,5
"18",121.482028065897,31.1347751786,3261.46947895151,5
"19",121.489590439538,31.1347751786,4096.28104839678,5
"20",121.497152813179,31.1347751786,4163.14194214076,5
"21",121.504715186821,31.1347751786,3161.41252780406,5
"22",121.512277560462,31.1347751786,4425.30916539513,5
"23",121.519839934103,31.1347751786,4573.0672340176,5
"24",121.527402307744,31.1347751786,3068.0394022534,5
"25",121.534964681385,31.1347751786,2250.05808263997,5
"26",121.542527055026,31.1347751786,1417.99811370338,5
"27",121.550089428667,31.1347751786,1617.99994627033,5
"28",121.557651802308,31.1347751786,2124.82378576999,5
"29",121.565214175949,31.1347751786,2429.86242140352,5
"30",121.57277654959,31.1347751786,1852.82055732834,5
"31",121.580338923231,31.1347751786,1644.4707412963,5
"32",121.587901296872,31.1347751786,1482.58063251749,5
"33",121.595463670513,31.1347751786,1762.76724194405,5
"34",121.603026044154,31.1347751786,1654.00223583118,5
"35",121.610588417795,31.1347751786,4558.64353471358,5
"36",121.618150791436,31.1347751786,5418.77303422107,5
"37",121.625713165077,31.1347751786,1582.07450066315,5
"38",121.633275538718,31.1347751786,500.511807634431,5
"39",121.640837912359,31.1347751786,503.694252335777,5
"40",121.648400286,31.1347751786,847.999999085885,5
"41",121.353467714,31.1410034258513,13339.9548732075,5
"42",121.361030087641,31.1410034258513,8586.91121790216,5
"43",121.368592461282,31.1410034258513,6386.18268670396,5
"44",121.376154834923,31.1410034258513,6292.65081851997,5
"45",121.383717208564,31.1410034258513,7606.20363138093,5
"46",121.391279582205,31.1410034258513,8290.51618587615,5
"47",121.398841955846,31.1410034258513,9406.99819930648,5
"48",121.406404329487,31.1410034258513,12613.587566638,5
"49",121.413966703128,31.1410034258513,12858.6464408288,5
"50",121.421529076769,31.1410034258513,12473.8157062484,5
"51",121.42909145041,31.1410034258513,12699.6700790896,5
"52",121.436653824051,31.1410034258513,10624.2149659045,5
"53",121.444216197692,31.1410034258513,7529.98576881961,5
"54",121.451778571333,31.1410034258513,4787.64234358449,5
"55",121.459340944974,31.1410034258513,2687.28883412934,5
"56",121.466903318615,31.1410034258513,2434.79912167581,5
"57",121.474465692256,31.1410034258513,3672.71698628222,5
"58",121.482028065897,31.1410034258513,5060.75327027991,5
"59",121.489590439538,31.1410034258513,6803.77530975235,5
"60",121.497152813179,31.1410034258513,7448.93377933931,5
"61",121.504715186821,31.1410034258513,6185.47150480934,5
"62",121.512277560462,31.1410034258513,6458.33147156084,5
"63",121.519839934103,31.1410034258513,6176.10197786606,5
"64",121.527402307744,31.1410034258513,4396.7182863022,5
"65",121.534964681385,31.1410034258513,3008.80320967901,5
"66",121.542527055026,31.1410034258513,1689.15913166831,5
"67",121.550089428667,31.1410034258513,1351.84443752337,5
"68",121.557651802308,31.1410034258513,1677.08582939513,5
"69",121.565214175949,31.1410034258513,2078.52343079432,5
"70",121.57277654959,31.1410034258513,1965.51672058348,5
"71",121.580338923231,31.1410034258513,1409.2232122364,5
"72",121.587901296872,31.1410034258513,1277.38299102211,5
"73",121.595463670513,31.1410034258513,1676.87866695647,5
"74",121.603026044154,31.1410034258513,3029.59934067432,5
"75",121.610588417795,31.1410034258513,4994.3794768046,5
"76",121.618150791436,31.1410034258513,5174.40368906036,5
"77",121.625713165077,31.1410034258513,2045.75710767947,5
"78",121.633275538718,31.1410034258513,794.362182011951,5
"79",121.640837912359,31.1410034258513,820.654867028033,5
"80",121.648400286,31.1410034258513,747.784416306338,5
"81",121.353467714,31.1472316731026,16805.4034163371,5
"82",121.361030087641,31.1472316731026,11271.1910680598,5
"83",121.368592461282,31.1472316731026,8361.1413531967,5
"84",121.376154834923,31.1472316731026,8106.03220842682,5
"85",121.383717208564,31.1472316731026,9058.1373882898,5
"86",121.391279582205,31.1472316731026,9321.63232945904,5
"87",121.398841955846,31.1472316731026,9875.87686057007,5
"88",121.406404329487,31.1472316731026,12132.2029660621,5
"89",121.413966703128,31.1472316731026,11992.8774100563,5
"90",121.421529076769,31.1472316731026,11308.9043769516,5
"91",121.42909145041,31.1472316731026,11524.8703968019,5
"92",121.436653824051,31.1472316731026,9377.09921762352,5
"93",121.444216197692,31.1472316731026,6608.84443598023,5
"94",121.451778571333,31.1472316731026,4751.99342372678,5
"95",121.459340944974,31.1472316731026,2304.8128632142,5
"96",121.466903318615,31.1472316731026,1711.12352420504,5
"97",121.474465692256,31.1472316731026,3411.98239239714,5
"98",121.482028065897,31.1472316731026,6341.75391894334,5
"99",121.489590439538,31.1472316731026,8976.83553624355,5
"100",121.497152813179,31.1472316731026,9920.36574954256,5
"101",121.504715186821,31.1472316731026,8169.83995002122,5
