x,y,value,hour
121.3534677,31.13477518,10662.00003,9
121.3610301,31.13477518,11568.8046,9
121.3685925,31.13477518,10837.7094,9
121.3761548,31.13477518,9717.253255,9
121.3837172,31.13477518,8508.259949,9
121.3912796,31.13477518,12850.22964,9
121.398842,31.13477518,19100.2992,9
121.4064043,31.13477518,19327.07597,9
121.4139667,31.13477518,19292.91072,9
121.4215291,31.13477518,17313.48628,9
121.4290915,31.13477518,14970.59521,9
121.4366538,31.13477518,12336.24176,9
121.4442162,31.13477518,9346.821396,9
121.4517786,31.13477518,6402.999883,9
121.4593409,31.13477518,3629.962937,9
121.4669033,31.13477518,3109.985305,9
121.4744657,31.13477518,4668.716178,9
121.4820281,31.13477518,5328.077842,9
121.4895904,31.13477518,6335.347679,9
121.4971528,31.13477518,6403.130646,9
121.5047152,31.13477518,5022.272667,9
121.5122776,31.13477518,6654.466084,9
121.5198399,31.13477518,7067.025572,9
121.5274023,31.13477518,4274.871398,9
121.5349647,31.13477518,4064.71326,9
121.5425271,31.13477518,4815.228781,9
121.5500894,31.13477518,6063.999933,9
121.5576518,31.13477518,3916.418247,9
121.5652142,31.13477518,2703.20118,9
121.5727765,31.13477518,2385.049024,9
121.5803389,31.13477518,1767.198297,9
121.5879013,31.13477518,1783.034446,9
121.5954637,31.13477518,2375.259708,9
121.603026,31.13477518,2467.614767,9
121.6105884,31.13477518,8884.04672,9
121.6181508,31.13477518,11715.94775,9
121.6257132,31.13477518,4383.410196,9
121.6332755,31.13477518,1378.966658,9
121.6408379,31.13477518,855.9760563,9
121.6484003,31.13477518,1919.999999,9
121.3534677,31.14100343,14097.67875,9
121.3610301,31.14100343,11248.5062,9
121.3685925,31.14100343,10078.75668,9
121.3761548,31.14100343,10150.80569,9
121.3837172,31.14100343,10770.35075,9
121.3912796,31.14100343,13437.04215,9
121.398842,31.14100343,18911.78562,9
121.4064043,31.14100343,26448.67792,9
121.4139667,31.14100343,22803.02796,9
121.4215291,31.14100343,18337.94101,9
121.4290915,31.14100343,17166.20172,9
121.4366538,31.14100343,13931.87205,9
121.4442162,31.14100343,10506.46175,9
121.4517786,31.14100343,7359.137477,9
121.4593409,31.14100343,3862.032983,9
121.4669033,31.14100343,2913.312409,9
121.4744657,31.14100343,4547.437506,9
121.4820281,31.14100343,6701.061433,9
121.4895904,31.14100343,8909.093562,9
121.4971528,31.14100343,10017.83628,9
121.5047152,31.14100343,9193.365193,9
121.5122776,31.14100343,9109.850523,9
121.5198399,31.14100343,8354.660198,9
121.5274023,31.14100343,5260.290185,9
121.5349647,31.14100343,3717.710978,9
121.5425271,31.14100343,3842.494615,9
121.5500894,31.14100343,5114.766024,9
121.5576518,31.14100343,4021.365814,9
121.5652142,31.14100343,2870.905081,9
121.5727765,31.14100343,2069.426855,9
121.5803389,31.14100343,1354.609815,9
121.5879013,31.14100343,1368.081029,9
121.5954637,31.14100343,1936.33916,9
121.603026,31.14100343,4091.333181,9
121.6105884,31.14100343,8453.774208,9
121.6181508,31.14100343,9662.468128,9
121.6257132,31.14100343,4296.644282,9
121.6332755,31.14100343,1793.132855,9
121.6408379,31.14100343,1649.306104,9
121.6484003,31.14100343,1763.219685,9
121.3534677,31.14723167,15659.00013,9
121.3610301,31.14723167,12822.52585,9
121.3685925,31.14723167,11911.47618,9
121.3761548,31.14723167,12446.94283,9
121.3837172,31.14723167,12059.56624,9
121.3912796,31.14723167,12654.87584,9
121.398842,31.14723167,15746.86784,9
121.4064043,31.14723167,22810.50652,9
121.4139667,31.14723167,20736.36211,9
121.4215291,31.14723167,17778.54194,9
121.4290915,31.14723167,17457.43691,9
121.4366538,31.14723167,13739.0925,9
121.4442162,31.14723167,10036.00643,9
121.4517786,31.14723167,7327.89619,9
121.4593409,31.14723167,3464.854629,9
121.4669033,31.14723167,2113.449313,9
121.4744657,31.14723167,3891.456812,9
121.4820281,31.14723167,7305.410228,9
121.4895904,31.14723167,11006.00006,9
121.4971528,31.14723167,13125.0956,9
121.5047152,31.14723167,12203.43151,9
121.5122776,31.14723167,10680.58652,9
121.5198399,31.14723167,9251.088026,9
121.5274023,31.14723167,7074.240784,9
121.5349647,31.14723167,4190.54372,9
121.5425271,31.14723167,2951.784689,9
121.5500894,31.14723167,3889.231415,9
121.5576518,31.14723167,4012.763696,9
121.5652142,31.14723167,3334.625243,9
121.5727765,31.14723167,2311.538764,9
121.5803389,31.14723167,1951.48235,9
121.5879013,31.14723167,1711.143597,9
121.5954637,31.14723167,1905.582703,9
121.603026,31.14723167,3572.627015,9
121.6105884,31.14723167,5627.69126,9
121.6181508,31.14723167,5746.891975,9
121.6257132,31.14723167,2778.318915,9
121.6332755,31.14723167,1369.134822,9
121.6408379,31.14723167,1289.13294,9
121.6484003,31.14723167,1095.940074,9
121.3534677,31.15345992,15429.44428,9
121.3610301,31.15345992,14811.7463,9
121.3685925,31.15345992,14944.27733,9
121.3761548,31.15345992,15852.31592,9
121.3837172,31.15345992,13039.30251,9
121.3912796,31.15345992,13934.44207,9
121.398842,31.15345992,13763.79695,9
121.4064043,31.15345992,14157.43922,9
121.4139667,31.15345992,16239.74449,9
121.4215291,31.15345992,17130.61775,9
121.4290915,31.15345992,17351.14317,9
121.4366538,31.15345992,12704.41671,9
121.4442162,31.15345992,8636.186981,9
121.4517786,31.15345992,7005.100781,9
121.4593409,31.15345992,2538.17961,9
121.4669033,31.15345992,1077.12639,9
121.4744657,31.15345992,2868.36528,9
121.4820281,31.15345992,7073.394552,9
121.4895904,31.15345992,11932.00844,9
121.4971528,31.15345992,14923.62792,9
121.5047152,31.15345992,13064.76643,9
121.5122776,31.15345992,10923.64362,9
121.5198399,31.15345992,9818.719446,9
121.5274023,31.15345992,9717.49847,9
121.5349647,31.15345992,5074.650979,9
121.5425271,31.15345992,2518.703311,9
121.5500894,31.15345992,2632.693855,9
121.5576518,31.15345992,4502.686483,9
121.5652142,31.15345992,4419.505118,9
121.5727765,31.15345992,2942.744845,9
121.5803389,31.15345992,3145.630671,9
121.5879013,31.15345992,2271.51914,9
121.5954637,31.15345992,1822.779176,9
121.603026,31.15345992,1837.950135,9
121.6105884,31.15345992,2272.535776,9
121.6181508,31.15345992,1901.809358,9
121.6257132,31.15345992,1311.840442,9
121.6332755,31.15345992,850.2411789,9
121.6408379,31.15345992,744.4428679,9
121.6484003,31.15345992,267.5735602,9
121.3534677,31.15968817,11983.23531,9
121.3610301,31.15968817,13931.33855,9
121.3685925,31.15968817,15107.19274,9
121.3761548,31.15968817,15508.84015,9
121.3837172,31.15968817,16417.4484,9
121.3912796,31.15968817,21869.80151,9
121.398842,31.15968817,25641.21177,9
121.4064043,31.15968817,17632.65138,9
121.4139667,31.15968817,17521.33105,9
121.4215291,31.15968817,20292.80496,9
121.4290915,31.15968817,18950.62218,9
121.4366538,31.15968817,14669.83524,9
121.4442162,31.15968817,9624.910663,9
121.4517786,31.15968817,6933.513316,9
121.4593409,31.15968817,2363.856475,9
121.4669033,31.15968817,1132.159856,9
121.4744657,31.15968817,3552.721993,9
121.4820281,31.15968817,6806.130471,9
121.4895904,31.15968817,12525.33252,9
121.4971528,31.15968817,15141.81667,9
121.5047152,31.15968817,10878.11182,9
121.5122776,31.15968817,10864.38571,9
121.5198399,31.15968817,11763.00393,9
121.5274023,31.15968817,9633.956508,9
121.5349647,31.15968817,5109.962834,9
121.5425271,31.15968817,2316.775707,9
121.5500894,31.15968817,3217.117572,9
121.5576518,31.15968817,5327.883829,9
121.5652142,31.15968817,5538.980943,9
121.5727765,31.15968817,4150.006937,9
121.5803389,31.15968817,2358.43276,9
121.5879013,31.15968817,1337.725615,9
121.5954637,31.15968817,577.9052672,9
121.603026,31.15968817,690.8410546,9
121.6105884,31.15968817,777.8740877,9
121.6181508,31.15968817,875.3993754,9
121.6257132,31.15968817,1164.479696,9
121.6332755,31.15968817,1094.69018,9
121.6408379,31.15968817,1111.93818,9
121.6484003,31.15968817,863.0969512,9
121.3534677,31.16591641,10856.82838,9
121.3610301,31.16591641,12731.26562,9
121.3685925,31.16591641,14581.23997,9
121.3761548,31.16591641,16843.84388,9
121.3837172,31.16591641,21498.03642,9
121.3912796,31.16591641,28749.14427,9
121.398842,31.16591641,31420.59271,9
121.4064043,31.16591641,21106.43776,9
