FID,Join_Count,TARGET_FID,Id,Join_Cou_1,TARGET_F_1,Id_1,Field1,hour,freq,longitude,altitude,long,lat
0,13,0,0,1,0,0,252275,7,8160,121.349208000000000,31.132218999999999,121.353467714000000,31.134775178600002
1,23,1,0,1,1,0,252731,7,11575,121.358041000000000,31.137540999999999,121.364391143000010,31.134775178600002
2,26,2,0,1,2,0,253301,7,11945,121.368956999999990,31.134926000000000,121.375314571000000,31.134775178600002
3,27,3,0,1,3,0,253937,7,9329,121.379848000000000,31.139644000000001,121.386238000000010,31.134775178600002
4,38,4,0,1,4,0,254763,7,22807,121.391234000000000,31.135549999999999,121.397161428999990,31.134775178600002
5,41,5,0,1,5,0,255791,7,25759,121.402511000000000,31.138152000000002,121.408084857000010,31.134775178600002
6,41,6,0,1,6,0,256655,7,24043,121.412739000000000,31.136922999999999,121.419008285999990,31.134775178600002
7,36,7,0,1,7,0,257685,7,18114,121.423554000000000,31.134657000000001,121.429931714000010,31.134775178600002
8,24,8,0,1,8,0,258845,7,12573,121.434698000000000,31.136410000000001,121.440855142999990,31.134775178600002
9,25,9,0,1,9,0,259969,7,8327,121.445446000000000,31.139651000000001,121.451778571000010,31.134775178600002
10,4,10,0,1,10,0,261887,7,2782,121.465279000000000,31.134563000000000,121.462701999999990,31.134775178600002
11,21,11,0,1,11,0,262161,7,5590,121.468919000000000,31.138406000000000,121.473625428999990,31.134775178600002
12,21,12,0,1,12,0,263106,7,7360,121.479003000000010,31.132885000000002,121.484548856999990,31.134775178600002
13,18,13,0,1,13,0,264126,7,7640,121.489402000000000,31.133378000000000,121.495472285999990,31.134775178600002
14,12,14,0,1,14,0,265141,7,5999,121.502054000000000,31.136531000000002,121.506395714000010,31.134775178600002
15,18,15,0,1,15,0,265869,7,8705,121.512562000000000,31.137810999999999,121.517319142999990,31.134775178600002
16,10,16,0,1,16,0,266569,7,4697,121.522551000000010,31.133606000000000,121.528242571000010,31.134775178600002
17,11,17,0,1,17,0,267149,7,4801,121.533123000000000,31.132600000000000,121.539165999999990,31.134775178600002
18,11,18,0,1,18,0,267771,7,5829,121.548143999999990,31.130938000000000,121.550089429000000,31.134775178600002
19,14,19,0,1,19,0,268082,7,3315,121.557351000000000,31.137219999999999,121.561012856999990,31.134775178600002
20,20,20,0,1,20,0,268380,7,2612,121.566678000000000,31.138030000000001,121.571936286000000,31.134775178600002
21,10,21,0,1,21,0,268732,7,1979,121.577169000000000,31.131931999999999,121.582859713999990,31.134775178600002
22,8,22,0,1,22,0,269113,7,2561,121.589063000000000,31.130773999999999,121.593783143000000,31.134775178600002
23,14,23,0,1,23,0,269379,7,3090,121.600334000000000,31.138536999999999,121.604706570999990,31.134775178600002
24,34,24,0,1,24,0,269579,7,16614,121.609202000000000,31.140145000000000,121.615630000000000,31.134775178600002
25,6,25,0,1,25,0,269910,7,3878,121.623847000000000,31.133714000000001,121.626553429000000,31.134775178600002
26,1,26,0,1,26,0,270208,7,491,121.640602000000000,31.138006000000001,121.637476857000000,31.134775178600002
27,2,27,0,1,27,0,270341,7,2221,121.648467999999990,31.134027000000000,121.648400286000000,31.134775178600002
28,35,28,0,1,28,0,252245,7,18913,121.348715000000000,31.146977000000000,121.353467714000000,31.143771535700001
29,27,29,0,1,29,0,252730,7,8623,121.358027000000010,31.143583000000000,121.364391143000010,31.143771535700001
30,20,30,0,1,30,0,253342,7,10323,121.369676000000000,31.147634000000000,121.375314571000000,31.143771535700001
31,33,31,0,1,31,0,253937,7,12311,121.379848000000000,31.139644000000001,121.386238000000010,31.143771535700001
32,38,32,0,1,32,0,254746,7,17547,121.391045000000010,31.142271999999998,121.397161428999990,31.143771535700001
33,67,33,0,1,33,0,255729,7,39895,121.401782000000000,31.144473000000001,121.408084857000010,31.143771535700001
34,64,34,0,1,34,0,256649,7,19550,121.412696000000000,31.141735000000001,121.419008285999990,31.143771535700001
35,43,35,0,1,35,0,257680,7,20846,121.423514999999990,31.143833000000001,121.429931714000010,31.143771535700001
36,43,36,0,1,36,0,258833,7,15008,121.434617000000000,31.144217000000001,121.440855142999990,31.143771535700001
