FID,Join_Count,TARGET_FID,Id,Join_Cou_1,TARGET_F_1,Id_1,Field1,hour,freq,longitude,altitude,long,lat
37,24,37,0,1,37,0,259959,7,12469,121.445363000000000,31.144055000000002,121.451778571000010,31.143771535700001
38,12,38,0,1,38,0,261174,7,3598,121.456509999999990,31.145731999999999,121.462701999999990,31.143771535700001
39,13,39,0,1,39,0,262066,7,4347,121.467555000000000,31.147251000000001,121.473625428999990,31.143771535700001
40,31,40,0,1,40,0,263017,7,10682,121.478190000000000,31.149249999999999,121.484548856999990,31.143771535700001
41,28,41,0,1,41,0,264102,7,13068,121.489081000000000,31.147058999999999,121.495472285999990,31.143771535700001
42,16,42,0,1,42,0,265100,7,12882,121.501557000000010,31.144050000000000,121.506395714000010,31.143771535700001
43,26,43,0,1,43,0,265760,7,12873,121.510943999999990,31.143612000000001,121.517319142999990,31.143771535700001
44,24,44,0,1,44,0,266529,7,6574,121.521984000000000,31.141300000000001,121.528242571000010,31.143771535700001
45,12,45,0,1,45,0,267183,7,3284,121.533648000000000,31.141047000000000,121.539165999999990,31.143771535700001
46,18,46,0,1,46,0,267603,7,3568,121.543696000000000,31.148285000000001,121.550089429000000,31.143771535700001
47,20,47,0,1,47,0,268014,7,2632,121.555259000000010,31.148157000000001,121.561012856999990,31.143771535700001
48,12,48,0,1,48,0,268357,7,2177,121.565979000000000,31.146111000000001,121.571936286000000,31.143771535700001
49,9,49,0,1,49,0,268738,7,1062,121.577336000000000,31.148315000000000,121.582859713999990,31.143771535700001
50,6,50,0,1,50,0,269100,7,1554,121.588530000000010,31.144810000000000,121.593783143000000,31.143771535700001
51,19,51,0,1,51,0,269375,7,6225,121.600235000000000,31.142835000000002,121.604706570999990,31.143771535700001
52,33,52,0,1,52,0,269579,7,9531,121.609202000000000,31.140145000000000,121.615630000000000,31.143771535700001
53,10,53,0,1,53,0,269866,7,3131,121.621200000000000,31.149145999999998,121.626553429000000,31.143771535700001
54,3,54,0,1,54,0,270052,7,1425,121.631825000000010,31.142721000000002,121.637476857000000,31.143771535700001
55,2,55,0,1,55,0,270297,7,1411,121.645218000000000,31.146868000000001,121.648400286000000,31.143771535700001
56,29,56,0,1,56,0,252231,7,18421,121.348273000000010,31.152069000000001,121.353467714000000,31.152767892899998
57,33,57,0,1,57,0,252765,7,14829,121.358694000000000,31.151637000000001,121.364391143000010,31.152767892899998
58,31,58,0,1,58,0,253324,7,12959,121.369387000000000,31.158086000000001,121.375314571000000,31.152767892899998
59,24,59,0,1,59,0,253947,7,14830,121.380056999999990,31.154333000000001,121.386238000000010,31.152767892899998
60,37,60,0,1,60,0,254761,7,13143,121.391187000000000,31.150359999999999,121.397161428999990,31.152767892899998
61,78,61,0,1,61,0,255753,7,14592,121.402103999999990,31.148309999999999,121.408084857000010,31.152767892899998
62,85,62,0,1,62,0,256650,7,19838,121.412701000000000,31.157708000000000,121.419008285999990,31.152767892899998
63,88,63,0,1,63,0,257686,7,18571,121.423556000000000,31.157465999999999,121.429931714000010,31.152767892899998
64,40,64,0,1,64,0,258938,7,8058,121.435561000000010,31.157201000000001,121.440855142999990,31.152767892899998
65,28,65,0,1,65,0,260008,7,7558,121.445778000000000,31.158035999999999,121.451778571000010,31.152767892899998
66,4,66,0,1,66,0,261474,7,803,121.459995000000010,31.152466000000000,121.462701999999990,31.152767892899998
67,9,67,0,1,67,0,262301,7,2460,121.470460000000000,31.148012000000001,121.473625428999990,31.152767892899998
68,34,68,0,1,68,0,263017,7,11132,121.478190000000000,31.149249999999999,121.484548856999990,31.152767892899998
69,51,69,0,1,69,0,264149,7,18955,121.489666000000000,31.150342999999999,121.495472285999990,31.152767892899998
70,39,70,0,1,70,0,265007,7,14952,121.500414000000010,31.155334000000000,121.506395714000010,31.152767892899998
71,33,71,0,1,71,0,265803,7,11968,121.511527000000000,31.151987999999999,121.517319142999990,31.152767892899998
72,22,72,0,1,72,0,266522,7,12987,121.521829999999990,31.150735000000001,121.528242571000010,31.152767892899998
73,15,73,0,1,73,0,267142,7,4075,121.532955000000000,31.152296000000000,121.539165999999990,31.152767892899998
74,14,74,0,1,74,0,267603,7,1649,121.543696000000000,31.148285000000001,121.550089429000000,31.152767892899998
75,23,75,0,1,75,0,268014,7,4256,121.555259000000010,31.148157000000001,121.561012856999990,31.152767892899998
76,22,76,0,1,76,0,268341,7,3420,121.565673000000000,31.152585999999999,121.571936286000000,31.152767892899998
77,25,77,0,1,77,0,268738,7,3494,121.577336000000000,31.148315000000000,121.582859713999990,31.152767892899998
78,8,78,0,1,78,0,269084,7,2193,121.587875000000000,31.156915000000001,121.593783143000000,31.152767892899998
79,9,79,0,1,79,0,269340,7,2487,121.598393000000000,31.151484000000000,121.604706570999990,31.152767892899998
80,14,80,0,1,80,0,269607,7,1380,121.610080000000000,31.154101000000001,121.615630000000000,31.152767892899998
81,10,81,0,1,81,0,269835,7,1166,121.620131000000000,31.152297999999998,121.626553429000000,31.152767892899998
82,5,82,0,1,82,0,270075,7,428,121.633036000000000,31.156611000000002,121.637476857000000,31.152767892899998
83,3,83,0,1,83,0,270281,7,262,121.643882000000000,31.152282000000000,121.648400286000000,31.152767892899998
84,19,84,0,1,84,0,252234,7,12995,121.348378999999990,31.160370000000000,121.353467714000000,31.161764250000001
85,38,85,0,1,85,0,252761,7,17324,121.358644000000000,31.159061000000001,121.364391143000010,31.161764250000001
86,42,86,0,1,86,0,253324,7,16675,121.369387000000000,31.158086000000001,121.375314571000000,31.161764250000001
87,33,87,0,1,87,0,253960,7,12076,121.380253000000000,31.159161999999998,121.386238000000010,31.161764250000001
88,72,88,0,1,88,0,254727,7,23685,121.390817000000000,31.161733999999999,121.397161428999990,31.161764250000001
89,60,89,0,1,89,0,255714,7,15132,121.401628000000000,31.165709000000000,121.408084857000010,31.161764250000001
90,78,90,0,1,90,0,256650,7,20877,121.412701000000000,31.157708000000000,121.419008285999990,31.161764250000001
91,60,91,0,1,91,0,257686,7,20398,121.423556000000000,31.157465999999999,121.429931714000010,31.161764250000001
92,47,92,0,1,92,0,258839,7,11191,121.434651000000000,31.166509000000001,121.440855142999990,31.161764250000001
93,30,93,0,1,93,0,260008,7,8341,121.445778000000000,31.158035999999999,121.451778571000010,31.161764250000001
94,10,94,0,1,94,0,261162,7,731,121.456402999999990,31.165648999999998,121.462701999999990,31.161764250000001
95,20,95,0,1,95,0,262131,7,5008,121.468411000000000,31.159607999999999,121.473625428999990,31.161764250000001
96,22,96,0,1,96,0,263009,7,11015,121.478128000000000,31.162811999999999,121.484548856999990,31.161764250000001
97,54,97,0,1,97,0,264175,7,18417,121.490018000000010,31.163105999999999,121.495472285999990,31.161764250000001
98,31,98,0,1,98,0,265002,7,9007,121.500365000000000,31.161721000000000,121.506395714000010,31.161764250000001
99,31,99,0,1,99,0,265791,7,12538,121.511398000000000,31.163253000000001,121.517319142999990,31.161764250000001
100,29,100,0,1,100,0,266528,7,11615,121.521949000000010,31.158173000000001,121.528242571000010,31.161764250000001
101,8,101,0,1,101,0,267241,7,3302,121.534737000000010,31.159147999999998,121.539165999999990,31.161764250000001
102,16,102,0,1,102,0,267628,7,3845,121.544405000000000,31.163025999999999,121.550089429000000,31.161764250000001
103,34,103,0,1,103,0,268009,7,7684,121.555110000000000,31.164283999999999,121.561012856999990,31.161764250000001
104,30,104,0,1,104,0,268348,7,6806,121.565779000000010,31.159165000000002,121.571936286000000,31.161764250000001
105,10,105,0,1,105,0,268971,7,1739,121.584272000000000,31.164435000000001,121.582859713999990,31.161764250000001
106,1,106,0,1,106,0,269084,7,154,121.587875000000000,31.156915000000001,121.593783143000000,31.161764250000001
107,3,107,0,1,107,0,269444,7,502,121.603022999999990,31.163011999999998,121.604706570999990,31.161764250000001
108,6,108,0,1,108,0,269791,7,424,121.617628000000000,31.156676000000001,121.615630000000000,31.161764250000001
109,6,109,0,1,109,0,269846,7,781,121.620645999999990,31.156984999999999,121.626553429000000,31.161764250000001
110,6,110,0,1,110,0,270039,7,1075,121.631018999999990,31.163829000000000,121.637476857000000,31.161764250000001
111,4,111,0,1,111,0,270267,7,1007,121.643114999999990,31.165240000000001,121.648400286000000,31.161764250000001
112,32,112,0,1,112,0,252269,7,14367,121.349078000000010,31.171766000000002,121.353467714000000,31.170760607100000
113,31,113,0,1,113,0,252736,7,12069,121.358104000000000,31.172052999999998,121.364391143000010,31.170760607100000
114,41,114,0,1,114,0,253297,7,15414,121.368917000000000,31.171565999999999,121.375314571000000,31.170760607100000
115,64,115,0,1,115,0,253933,7,14680,121.379791000000000,31.168973000000001,121.386238000000010,31.170760607100000
116,95,116,0,1,116,0,254728,7,10818,121.390818999999990,31.170375000000000,121.397161428999990,31.170760607100000
117,70,117,0,1,117,0,255714,7,8548,121.401628000000000,31.165709000000000,121.408084857000010,31.170760607100000
118,82,118,0,1,118,0,256654,7,21263,121.412737000000010,31.176100999999999,121.419008285999990,31.170760607100000
119,75,119,0,1,119,0,257683,7,33403,121.423543000000000,31.170933999999999,121.429931714000010,31.170760607100000
120,49,120,0,1,120,0,258839,7,22111,121.434651000000000,31.166509000000001,121.440855142999990,31.170760607100000
121,28,121,0,1,121,0,259965,7,9763,121.445417000000010,31.174478000000001,121.451778571000010,31.170760607100000
122,11,122,0,1,122,0,261162,7,1345,121.456402999999990,31.165648999999998,121.462701999999990,31.170760607100000
123,22,123,0,1,123,0,262466,7,8481,121.472312000000000,31.175369000000000,121.473625428999990,31.170760607100000
124,45,124,0,1,124,0,263101,7,17452,121.478960000000000,31.173791999999999,121.484548856999990,31.170760607100000
125,63,125,0,1,125,0,264112,7,27961,121.489217999999990,31.167529999999999,121.495472285999990,31.170760607100000
126,31,126,0,1,126,0,265030,7,13253,121.500687000000000,31.166948000000001,121.506395714000010,31.170760607100000
127,24,127,0,1,127,0,265916,7,9510,121.513231000000000,31.174979000000000,121.517319142999990,31.170760607100000
128,25,128,0,1,128,0,266523,7,9115,121.521837000000000,31.169530999999999,121.528242571000010,31.170760607100000
129,24,129,0,1,129,0,267144,7,5016,121.533043000000010,31.175886999999999,121.539165999999990,31.170760607100000
130,9,130,0,1,130,0,267761,7,1889,121.547961000000000,31.172809000000001,121.550089429000000,31.170760607100000
131,25,131,0,1,131,0,268047,7,2719,121.556144000000000,31.172219999999999,121.561012856999990,31.170760607100000
132,16,132,0,1,132,0,268382,7,1588,121.566710000000000,31.166601000000000,121.571936286000000,31.170760607100000
133,11,133,0,1,133,0,268729,7,850,121.577077000000000,31.168126999999998,121.582859713999990,31.170760607100000
134,6,134,0,1,134,0,269132,7,1827,121.589778999999990,31.173798999999999,121.593783143000000,31.170760607100000
135,5,135,0,1,135,0,269367,7,621,121.599932000000000,31.171188000000001,121.604706570999990,31.170760607100000
136,1,136,0,1,136,0,269809,7,56,121.618917999999990,31.165351999999999,121.615630000000000,31.170760607100000
137,7,137,0,1,137,0,269899,7,1473,121.623341999999990,31.167265000000000,121.626553429000000,31.170760607100000
138,7,138,0,1,138,0,270072,7,1576,121.632864000000000,31.175221000000001,121.637476857000000,31.170760607100000
139,5,139,0,1,139,0,270244,7,983,121.642285000000000,31.168938000000001,121.648400286000000,31.170760607100000
140,33,140,0,1,140,0,252264,7,24213,121.349024000000000,31.179244000000001,121.353467714000000,31.179756964300001
141,53,141,0,1,141,0,252733,7,22068,121.358078000000010,31.178488999999999,121.364391143000010,31.179756964300001
142,57,142,0,1,142,0,253314,7,10095,121.369240000000000,31.182715000000002,121.375314571000000,31.179756964300001
143,60,143,0,1,143,0,253932,7,15520,121.379779000000000,31.183897999999999,121.386238000000010,31.179756964300001
144,48,144,0,1,144,0,254723,7,11537,121.390765000000000,31.182872000000000,121.397161428999990,31.179756964300001
145,59,145,0,1,145,0,255722,7,10858,121.401734000000000,31.175020000000000,121.408084857000010,31.179756964300001
146,56,146,0,1,146,0,256654,7,23433,121.412737000000010,31.176100999999999,121.419008285999990,31.179756964300001
147,68,147,0,1,147,0,257736,7,17067,121.424046000000000,31.185158999999999,121.429931714000010,31.179756964300001
148,90,148,0,1,148,0,258854,7,23855,121.434740000000010,31.184846000000000,121.440855142999990,31.179756964300001
149,28,149,0,1,149,0,259965,7,9962,121.445417000000010,31.174478000000001,121.451778571000010,31.179756964300001
150,9,150,0,1,150,0,261571,7,1233,121.461292000000000,31.180395000000001,121.462701999999990,31.179756964300001
151,20,151,0,1,151,0,262202,7,3713,121.469370000000000,31.183354000000001,121.473625428999990,31.179756964300001
152,59,152,0,1,152,0,263125,7,14044,121.479149000000010,31.175194000000001,121.484548856999990,31.179756964300001
153,68,153,0,1,153,0,264119,7,21509,121.489278000000000,31.184542000000000,121.495472285999990,31.179756964300001
154,42,154,0,1,154,0,264993,7,24161,121.500283999999990,31.177050000000001,121.506395714000010,31.179756964300001
155,35,155,0,1,155,0,265773,7,19747,121.511134000000000,31.185160000000000,121.517319142999990,31.179756964300001
156,25,156,0,1,156,0,266651,7,5494,121.524398000000010,31.178238000000000,121.528242571000010,31.179756964300001
157,17,157,0,1,157,0,267144,7,5115,121.533043000000010,31.175886999999999,121.539165999999990,31.179756964300001
158,24,158,0,1,158,0,267612,7,6338,121.544122000000000,31.178205999999999,121.550089429000000,31.179756964300001
159,24,159,0,1,159,0,268020,7,3827,121.555327000000010,31.183532000000000,121.561012856999990,31.179756964300001
160,17,160,0,1,160,0,268365,7,852,121.566246000000010,31.183326999999998,121.571936286000000,31.179756964300001
161,13,161,0,1,161,0,268748,7,541,121.577499000000000,31.184616999999999,121.582859713999990,31.179756964300001
162,7,162,0,1,162,0,269091,7,1628,121.588091000000010,31.181839000000000,121.593783143000000,31.179756964300001
163,7,163,0,1,163,0,269341,7,1140,121.598434999999990,31.180586000000002,121.604706570999990,31.179756964300001
164,17,164,0,1,164,0,269587,7,1966,121.609605000000000,31.180091000000001,121.615630000000000,31.179756964300001
165,14,165,0,1,165,0,269836,7,4545,121.620171000000000,31.185143000000000,121.626553429000000,31.179756964300001
166,10,166,0,1,166,0,270058,7,2432,121.632244000000000,31.179642999999999,121.637476857000000,31.179756964300001
167,4,167,0,1,167,0,270252,7,890,121.642657000000000,31.181155000000000,121.648400286000000,31.179756964300001
168,23,168,0,1,168,0,252276,7,7020,121.349208000000000,31.193484000000002,121.353467714000000,31.188753321400000
169,63,169,0,1,169,0,252779,7,18104,121.359007000000010,31.188908000000001,121.364391143000010,31.188753321400000
170,70,170,0,1,170,0,253299,7,14374,121.368928999999990,31.191517000000001,121.375314571000000,31.188753321400000
171,61,171,0,1,171,0,253932,7,12725,121.379779000000000,31.183897999999999,121.386238000000010,31.188753321400000
172,56,172,0,1,172,0,254724,7,13573,121.390784000000000,31.186108999999998,121.397161428999990,31.188753321400000
173,47,173,0,1,173,0,255737,7,16837,121.401957999999990,31.191034999999999,121.408084857000010,31.188753321400000
174,80,174,0,1,174,0,256717,7,23693,121.413332000000000,31.192291999999998,121.419008285999990,31.188753321400000
175,138,175,0,1,175,0,257701,7,27465,121.423723000000000,31.187982999999999,121.429931714000010,31.188753321400000
176,128,176,0,1,176,0,258846,7,27151,121.434698999999990,31.185927000000000,121.440855142999990,31.188753321400000
177,68,177,0,1,177,0,259990,7,21900,121.445652000000000,31.191979000000000,121.451778571000010,31.188753321400000
178,21,178,0,1,178,0,261332,7,2356,121.458286000000000,31.192229000000001,121.462701999999990,31.188753321400000
179,28,179,0,1,179,0,262057,7,4091,121.467474000000000,31.192716999999998,121.473625428999990,31.188753321400000
180,48,180,0,1,180,0,263109,7,1693,121.479043000000000,31.186074000000001,121.484548856999990,31.188753321400000
181,53,181,0,1,181,0,264119,7,6884,121.489278000000000,31.184542000000000,121.495472285999990,31.188753321400000
182,53,182,0,1,182,0,265029,7,20680,121.500681000000000,31.186288000000001,121.506395714000010,31.188753321400000
183,31,183,0,1,183,0,265766,7,14722,121.511062000000000,31.193867999999998,121.517319142999990,31.188753321400000
184,38,184,0,1,184,0,266527,7,9516,121.521941000000000,31.189648999999999,121.528242571000010,31.188753321400000
185,17,185,0,1,185,0,267186,7,5608,121.533800000000000,31.191212000000000,121.539165999999990,31.188753321400000
186,35,186,0,1,186,0,267613,7,11280,121.544123000000000,31.185887000000001,121.550089429000000,31.188753321400000
187,27,187,0,1,187,0,268008,7,4501,121.555006000000010,31.189807999999999,121.561012856999990,31.188753321400000
188,23,188,0,1,188,0,268362,7,2457,121.566180000000000,31.187892999999999,121.571936286000000,31.188753321400000
189,28,189,0,1,189,0,268735,7,1746,121.577297000000000,31.186837000000001,121.582859713999990,31.188753321400000
190,29,190,0,1,190,0,269102,7,2746,121.588583000000000,31.186572999999999,121.593783143000000,31.188753321400000
191,17,191,0,1,191,0,269346,7,491,121.598926000000010,31.193358000000000,121.604706570999990,31.188753321400000
192,10,192,0,1,192,0,269836,7,603,121.620171000000000,31.185143000000000,121.615630000000000,31.188753321400000
193,17,193,0,1,193,0,269836,7,3815,121.620171000000000,31.185143000000000,121.626553429000000,31.188753321400000
194,13,194,0,1,194,0,270046,7,3081,121.631345000000000,31.189311000000000,121.637476857000000,31.188753321400000
195,10,195,0,1,195,0,270241,7,2019,121.642148000000010,31.188783000000001,121.648400286000000,31.188753321400000
196,18,196,0,1,196,0,252276,7,3241,121.349208000000000,31.193484000000002,121.353467714000000,31.197749678600001
197,32,197,0,1,197,0,252738,7,8433,121.358149999999990,31.199781999999999,121.364391143000010,31.197749678600001
198,47,198,0,1,198,0,253333,7,8247,121.369601000000000,31.201630999999999,121.375314571000000,31.197749678600001
199,83,199,0,1,199,0,253939,7,18334,121.379870999999990,31.193197000000001,121.386238000000010,31.197749678600001
200,78,200,0,1,200,0,254737,7,16460,121.390921000000010,31.200047000000001,121.397161428999990,31.197749678600001
201,72,201,0,1,201,0,255717,7,17516,121.401668000000000,31.196687000000001,121.408084857000010,31.197749678600001
202,94,202,0,1,202,0,256672,7,25679,121.412935000000000,31.197320000000001,121.419008285999990,31.197749678600001
203,142,203,0,1,203,0,257698,7,29416,121.423697000000000,31.196517000000000,121.429931714000010,31.197749678600001
204,139,204,0,1,204,0,258821,7,26613,121.434495000000000,31.195715000000000,121.440855142999990,31.197749678600001
205,117,205,0,1,205,0,259991,7,35616,121.445656000000000,31.200569999999999,121.451778571000010,31.197749678600001
206,68,206,0,1,206,0,261253,7,29288,121.457210000000000,31.202856000000001,121.462701999999990,31.197749678600001
207,71,207,0,1,207,0,262057,7,21252,121.467474000000000,31.192716999999998,121.473625428999990,31.197749678600001
208,47,208,0,1,208,0,263005,7,7628,121.478111000000000,31.200271999999998,121.484548856999990,31.197749678600001
209,33,209,0,1,209,0,264139,7,3140,121.489502000000000,31.201442000000000,121.495472285999990,31.197749678600001
210,79,210,0,1,210,0,264994,7,20755,121.500291000000000,31.194331999999999,121.506395714000010,31.197749678600001
211,53,211,0,1,211,0,265764,7,21278,121.510997000000000,31.196766000000000,121.517319142999990,31.197749678600001
212,33,212,0,1,212,0,266542,7,7584,121.522130000000000,31.192727999999999,121.528242571000010,31.197749678600001
213,15,213,0,1,213,0,267189,7,3783,121.533884000000000,31.199801000000001,121.539165999999990,31.197749678600001
214,35,214,0,1,214,0,267607,7,9553,121.544009000000000,31.202544000000000,121.550089429000000,31.197749678600001
215,25,215,0,1,215,0,268006,7,7443,121.554941000000000,31.198157999999999,121.561012856999990,31.197749678600001
216,21,216,0,1,216,0,268392,7,7060,121.566964000000000,31.203036000000001,121.571936286000000,31.197749678600001
217,36,217,0,1,217,0,268715,7,5193,121.576770999999990,31.199926000000001,121.582859713999990,31.197749678600001
218,28,218,0,1,218,0,269112,7,3695,121.588946000000010,31.198502999999999,121.593783143000000,31.197749678600001
219,38,219,0,1,219,0,269342,7,2267,121.598564000000000,31.195551999999999,121.604706570999990,31.197749678600001
220,23,220,0,1,220,0,269593,7,2512,121.609723000000000,31.198816999999998,121.615630000000000,31.197749678600001
221,25,221,0,1,221,0,269843,7,5314,121.620532999999990,31.198909000000000,121.626553429000000,31.197749678600001
222,11,222,0,1,222,0,270045,7,2982,121.631339999999990,31.201028999999998,121.637476857000000,31.197749678600001
223,6,223,0,1,223,0,270311,7,1420,121.645889999999990,31.202999999999999,121.648400286000000,31.197749678600001
224,24,224,0,1,224,0,252345,7,7752,121.350652999999990,31.207854999999999,121.353467714000000,31.206746035700000
225,50,225,0,1,225,0,252732,7,11922,121.358058000000000,31.207740999999999,121.364391143000010,31.206746035700000
226,50,226,0,1,226,0,253311,7,12106,121.369170000000000,31.211224000000001,121.375314571000000,31.206746035700000
227,58,227,0,1,227,0,253943,7,24208,121.379983000000000,31.206927000000000,121.386238000000010,31.206746035700000
228,139,228,0,1,228,0,254721,7,28514,121.390744000000000,31.206222000000000,121.397161428999990,31.206746035700000
229,91,229,0,1,229,0,255712,7,30165,121.401625999999990,31.205023000000001,121.408084857000010,31.206746035700000
230,96,230,0,1,230,0,256684,7,30993,121.413049000000000,31.208604999999999,121.419008285999990,31.206746035700000
231,89,231,0,1,231,0,257677,7,24290,121.423480000000000,31.205119000000000,121.429931714000010,31.206746035700000
232,80,232,0,1,232,0,258824,7,15218,121.434549000000000,31.209159000000000,121.440855142999990,31.206746035700000
233,111,233,0,1,233,0,259971,7,24993,121.445463000000000,31.206471000000001,121.451778571000010,31.206746035700000
234,131,234,0,1,234,0,261150,7,32968,121.456297000000010,31.209978000000000,121.462701999999990,31.206746035700000
235,111,235,0,1,235,0,262041,7,37002,121.467257000000000,31.203672000000001,121.473625428999990,31.206746035700000
236,112,236,0,1,236,0,263006,7,35627,121.478117000000000,31.203102999999999,121.484548856999990,31.206746035700000
237,46,237,0,1,237,0,264100,7,15832,121.489047000000000,31.208886000000000,121.495472285999990,31.206746035700000
238,35,238,0,1,238,0,264980,7,13377,121.500035999999990,31.209523999999998,121.506395714000010,31.206746035700000
239,75,239,0,1,239,0,265759,7,13672,121.510896000000000,31.205324000000001,121.517319142999990,31.206746035700000
240,48,240,0,1,240,0,266551,7,5693,121.522315000000010,31.209102000000001,121.528242571000010,31.206746035700000
241,38,241,0,1,241,0,267130,7,7589,121.532735000000000,31.210540000000002,121.539165999999990,31.206746035700000
242,57,242,0,1,242,0,267607,7,12449,121.544009000000000,31.202544000000000,121.550089429000000,31.206746035700000
243,47,243,0,1,243,0,268004,7,9855,121.554838000000000,31.209752999999999,121.561012856999990,31.206746035700000
244,18,244,0,1,244,0,268353,7,6255,121.565911000000000,31.212145000000000,121.571936286000000,31.206746035700000
245,48,245,0,1,245,0,268727,7,6589,121.577042000000010,31.210273000000001,121.582859713999990,31.206746035700000
246,29,246,0,1,246,0,269105,7,3532,121.588679000000000,31.205355999999998,121.593783143000000,31.206746035700000
247,39,247,0,1,247,0,269344,7,5269,121.598782000000000,31.205752000000000,121.604706570999990,31.206746035700000
248,34,248,0,1,248,0,269589,7,7349,121.609624999999990,31.208476999999998,121.615630000000000,31.206746035700000
249,35,249,0,1,249,0,269837,7,4367,121.620180000000000,31.208158999999998,121.626553429000000,31.206746035700000
250,20,250,0,1,250,0,270064,7,2462,121.632575000000000,31.204446000000001,121.637476857000000,31.206746035700000
251,12,251,0,1,251,0,270308,7,2552,121.645762000000000,31.211134999999999,121.648400286000000,31.206746035700000
252,44,252,0,1,252,0,252240,7,17531,121.348470000000010,31.217559000000001,121.353467714000000,31.215742392900001
253,57,253,0,1,253,0,252734,7,23157,121.358082000000000,31.211496000000000,121.364391143000010,31.215742392900001
254,67,254,0,1,254,0,253307,7,21077,121.369113000000000,31.217341000000001,121.375314571000000,31.215742392900001
255,78,255,0,1,255,0,253944,7,25954,121.380005000000000,31.213943000000000,121.386238000000010,31.215742392900001
256,92,256,0,1,256,0,254757,7,27951,121.391152000000010,31.214601999999999,121.397161428999990,31.215742392900001
